trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-24.614249724187488,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0}",20,8,-45.8282247432455,"{0: 5, 1: 3, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0}",30,0,-100.56855732281822,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0}",20,0,-63.01516240685345,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0}",25,0,-89.25038629357194,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0}",20,11,-34.99386080310596,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0}",25,0,-219.5807042057047,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0}",25,7,-79.66430963979631,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0}",20,0,-131.98218656875804,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0}",20,0,-23.085171187682743,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0}",20,0,-124.14779172854661,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0}",20,5,-31.186275341255058,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0}",25,0,-81.03117913874075,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",20,0,-40.396641212658885,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0}",30,0,-57.231375663935516,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",25,0,-157.93919314238045,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0}",30,9,-69.61399837275567,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0}",30,0,-57.664756235907305,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0}",30,7,-34.62828101768405,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0}",20,0,-123.61761753238923,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-119.78240432480803,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-144.18108234475864,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,6,-136.3472453350168,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",25,7,-63.027357110925024,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,-48.25181581127942,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-56.58429825929534,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-82.19090758164053,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-129.2685943509305,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-145.55361798426273,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-113.86583330590166,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
