trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.830511513248,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.10686702298165,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.67392982080278,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.0375214101141,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.23699795414427,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.81435612667628,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.03977169557592,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,12,-17.174545637274175,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.8257602072253,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.88840555657188,"{0: 19, 1: 3, 2: 11, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.90393209080077,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.53044508486309,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.33700228517458,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.56124175208282,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-210.55218135700872,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.21456050428692,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.60681167323185,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-26.05759854662762,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.41470572255412,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.88181410070783,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.41894257530856,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-157.68114493895195,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.035441896497,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.98385205119348,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-178.6805806223342,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,2,-118.76623105726473,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.32634413044283,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.95919381281342,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.78888035981967,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.95231252083158,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
