trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.975}",25,0,-155.62285395863907,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,7,-63.0250963551475,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-147.0177628545544,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-142.4209618233036,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-127.2419991942996,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-163.87977323093452,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-195.4626156084009,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-112.7370527766268,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,0,-203.042146993017,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-96.59710915536523,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-126.18663976995528,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,15,-49.581506947609114,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-92.65511531109799,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,15,9.47779273408444,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-75.12022328868723,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-199.8381400595409,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,0,-11.534601255040286,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-47.87797865280745,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.5249999999999996}",35,6,-25.75972838498063,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-142.6446661572468,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-9.408969423779947,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,3.208188714219456,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,0,-94.1603196425341,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,6,-0.05195867343377936,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.37499999999999944}",30,18,-74.14988952193796,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,0,-46.30994840495009,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,0,-13.648283625987297,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,18,16.802629208798514,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,0,-46.189506257749755,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.24999999999999936}",25,0,-33.533270546076025,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.22499999999999937}",20,10,17.980665660193274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.19999999999999937}",25,0,-111.55668409736407,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.17499999999999938}",20,9,7.669691092962693,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.14999999999999938}",25,3,-28.155264872119957,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.12499999999999939}",20,5,1.6553700111265321,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.0999999999999994}",20,12,15.583322734162632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.0749999999999994}",30,0,-14.324014408211367,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.0499999999999994}",25,18,14.110058258673899,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,13.567160680254101,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,7,34.051393658937066,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,13.277002008802738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,15,-14.248774171030162,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,9,35.91624500737029,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,21.105059219223058,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,15,-2.6854586201211195,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,14,29.75774397930096,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,25.317894252389472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,20,18.65003847657657,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
