trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-50.7471694681989,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.25}",30,0,-129.04447708621018,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.1111111111111111}",25,0,-68.69684194886133,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.0625}",20,0,-107.67160749736547,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.04}",20,1,-13.098502497032278,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.027777777777777776}",20,0,-9.26612345237201,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.02040816326530612}",30,0,-148.41829026914976,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.015625}",20,0,-53.661636924261266,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.012345679012345678}",20,0,-78.59797287111536,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.01}",25,0,-27.34914009429976,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.008264462809917356}",20,0,-100.15578711128806,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.006944444444444444}",20,0,-168.40875360861875,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.005917159763313609}",20,0,-102.94317788000477,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.00510204081632653}",30,0,-172.04080141341163,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.6, 'e': 0.0044444444444444444}",25,0,-107.46290677870257,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.00390625}",25,0,-89.20740828025046,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.0034602076124567475}",20,0,-100.78394431711648,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.0030864197530864196}",25,0,-234.39370052426136,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
19,False,"{'a': 0.6, 'e': 0.002770083102493075}",20,0,-120.58468935274728,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.6, 'e': 0.0025}",25,0,-126.60691670678268,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
