trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.4200286869382,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.89996371668747,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.78402783025528,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-225.30296988453847,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,9,-109.11855249967853,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.5067771089608,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.22352984112098,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.3303169268386,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.56055643450875,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.45332714361888,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.7714205223036,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.59864803462315,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.88830738015734,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.28512020149384,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.64414828596003,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-176.141955560949,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-269.4619284351353,"{0: 13, 1: 4, 2: 6, 3: 4, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.92189343843514,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.66142673963253,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.1163665242816,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.16070003126032,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.1538351345646,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-87.05628633019775,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.2208452367715,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.63451595437434,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-198.6338867683927,"{0: 21, 1: 4, 2: 4, 3: 4, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,7,-104.22472601984069,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.14936994527807,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.52261024944562,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.7209819570333,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
